Year	Month	sPH
2009	9	6.4
2009	10	6.4
2009	11	6.4
2009	12	6.4
2010	1	6.4
2010	2	6.4
2010	3	6.4
2010	4	6.4
2010	5	6.4
2010	6	6.4
2010	7	6.4
2010	8	6.4
2010	9	6.4
2010	10	6.4
2010	11	6.4
2010	12	6.4
2011	1	5.99
2011	2	5.99
2011	3	5.99
2011	4	5.99
2011	5	5.99
2011	6	5.99
2011	7	5.99
2011	8	5.99
2011	9	5.99
2011	10	5.99
2011	11	5.99
2011	12	5.99
2012	1	6.09
2012	2	6.09
2012	3	6.09
2012	4	6.09
2012	5	6.09
2012	6	6.09
2012	7	6.09
2012	8	6.09
2012	9	6.09
2012	10	6.09
2012	11	6.09
2012	12	6.09
2013	1	6.28
2013	2	6.28
2013	3	6.28
2013	4	6.28
2013	5	6.28
2013	6	6.28
2013	7	6.28
2013	8	6.28
2013	9	6.28
2013	10	6.28
2013	11	6.28
2013	12	6.28
2014	1	5.95
2014	2	5.95
2014	3	5.95
2014	4	5.95
2014	5	5.95
2014	6	5.95
2014	7	5.95
2014	8	5.95
2014	9	5.95
2014	10	5.95
2014	11	5.95
2014	12	5.95
2015	1	6.26
2015	2	6.26
2015	3	6.26
2015	4	6.26
2015	5	6.26
2015	6	6.26
2015	7	6.26
2015	8	6.26
2015	9	6.26
2015	10	6.26
2015	11	6.26
2015	12	6.26
2016	1	7.3
2016	2	7.3
2016	3	7.3
2016	4	7.3
2016	5	7.3
2016	6	7.3
2016	7	7.3
2016	8	7.3
2016	9	7.3
2016	10	7.3
2016	11	7.3
2016	12	7.3
2017	1	6.4
2017	2	6.4
2017	3	6.4
2017	4	6.4
2017	5	6.4
2017	6	6.4
2017	7	6.4
2017	8	6.4
