OBJ_Critical= 0.37                                                                
fOBJ  LF0 r0  fINP  VP  PAR1  KP1 PAR2  PAR3  Qmax  Kba Kdes  rE  pEP fpEM  fD  gD  Vg  alpha KD  Yg  Ygsl  Q10 gamma beta  WPA2D tau wdorm VNup_MB KsNH4_MB  KsNO3_MB  Vnit  Vdenit  PAR4
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010843  0.01079507  1.12531955  0.89422239  0.45457549  0.01759565  0.01031335  0.00010006  0.3964359 0.00217844  1.70380129  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001083 0.01079507  1.2544094 0.89422239  0.37808517  0.01759565  0.01032803  0.00010006  0.39158642  0.00217844  1.70277173  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001083 0.01103263  1.2544094 0.89067948  0.37808517  0.01750885  0.01032803  0.00010006  0.39158642  0.00185843  1.70277173  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010883  0.01075586  0.99406266  0.89082951  0.3220483 0.01766343  0.01005204  0.00010006  0.39342766  0.00262891  1.71263978  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001079 0.01079507  1.13002743  0.89422239  0.43766357  0.01759565  0.01026689  0.00010006  0.3979633 0.00217844  1.70361882  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001086 0.01128029  1.38712846  0.89582756  0.52079106  0.01736684  0.01029532  0.00010006  0.39371433  0.00161596  1.70136897  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010681  0.01113564  1.27587396  0.89703401  0.51289373  0.01750551  0.01042537  0.00010006  0.39384049  0.00151046  1.70285585  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001087 0.01135404  1.42426941  0.89245897  0.36067518  0.01740412  0.0101912 0.00010006  0.38929821  0.0022644 1.70063443  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001087 0.01100216  1.42426941  0.88858116  0.36067518  0.01731403  0.0101912 0.00010006  0.38929821  0.00216423  1.70063443  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010843  0.01079507  1.12531955  0.89422239  0.45457549  0.01759565  0.01031335  0.00010006  0.3964359 0.00217844  1.70380129  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010971  0.0112067 1.25863721  0.89033618  0.4269617 0.01708504  0.01002904  0.00010006  0.38286224  0.00230121  1.70154746  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001083 0.01079507  1.2544094 0.89422239  0.37808517  0.01759565  0.01032803  0.00010006  0.39158642  0.00217844  1.70277173  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010792  0.01068 0.99960717  0.8924011 0.34811517  0.01752592  0.01034331  0.00010006  0.39891368  0.00185826  1.70497022  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00011002  0.01135404  1.36152153  0.89245897  0.36379952  0.01740412  0.0101912 0.00010006  0.38929821  0.00192158  1.70063443  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001079 0.011171  1.13002743  0.89412878  0.43766357  0.0175198 0.01026689  0.00010006  0.3979633 0.00132277  1.70361882  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010795  0.01126616  1.0964628 0.8929958 0.34915683  0.01737691  0.01029777  0.00010006  0.39860315  0.00188248  1.70378882  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010609  0.00997692  0.66934602  0.88720672  0.19386703  0.01762612  0.01015048  0.00010006  0.41225599  0.00200913  1.70536347  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010813  0.01014441  1.12500104  0.89411729  0.27501944  0.01772069  0.01014395  0.00010006  0.39915217  0.00211032  1.70554597  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010883  0.01075586  0.99406266  0.89082951  0.3220483 0.01766343  0.01005204  0.00010006  0.39342766  0.00262891  1.71263978  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010892  0.01092123  1.20084661  0.89534289  0.53946386  0.01741245  0.01006893  0.00010006  0.39148013  0.00253585  1.70291669  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001079 0.01079507  1.13002743  0.89422239  0.43766357  0.01759565  0.01026689  0.00010006  0.3979633 0.00217844  1.70361882  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001086 0.01128029  1.38712846  0.89582756  0.52079106  0.01736684  0.01029532  0.00010006  0.39371433  0.00161596  1.70136897  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010892  0.01092123  1.20084661  0.89534289  0.53946386  0.01741245  0.01006893  0.00010006  0.39148013  0.00253585  1.70291669  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010511  0.01445145  1.89707562  0.88265913  0.19481054  0.01533042  0.01000473  0.00010006  0.33396579  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
