 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon            TOTout_C            TOTinp_C           POMinp1_C           POMinp2_C            DOMinp_C           POMdec1_C           POMdec2_C       POMdec2DOM1_C       POMdec2DOM2_C       POMdec2MOM1_C       POMdec2MOM2_C            MOMdec_C           MOM2DOM_C           QOM2DOM_C           DOM2QOM_C        DOM2QOMnet_C           DOM2MBA_C     MBA_mortality_C           MBA2EP1_C           MBA2EP2_C            MBA2EM_C            MBA_PM_C           EP2DOM1_C           EP2DOM2_C            EM2DOM_C           MBA2DOM_C           MBA2POM_C           MBA2MBD_C           MBD2MBA_C             CO2_gmo              CO2_gm          CO2_growth          CO2_maintn          CO2_ovflow      CO2_maintn_MBA      CO2_maintn_MBD      CO2_ovflow_MBA      CO2_ovflow_MBD           Nmine_dep             NH4_dep             NO3_dep             Nmn_net                 Nmn             Nmn_MBA             Nmn_MBD                 Nim             Nim_NH4             Nim_NO3              Nitrif            DENitrif            TOTout_N            TOTinp_N           POMinp1_N           POMinp2_N            DOMinp_N           POMdec1_N           POMdec2_N       POMdec2DOM1_N       POMdec2DOM2_N       POMdec2MOM1_N       POMdec2MOM2_N            MOMdec_N           MOM2DOM_N           QOM2DOM_N           DOM2QOM_N        DOM2QOMnet_N           DOM2MBA_N     MBA_mortality_N           MBA2EP1_N           MBA2EP2_N            MBA2EM_N            MBA_PM_N           EP2DOM1_N           EP2DOM2_N            EM2DOM_N           MBA2DOM_N           MBA2POM_N           MBA2MBD_N           MBD2MBA_N                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.109475E-03        0.857073E-04        0.599951E-05        0.317117E-04        0.479961E-04        0.136655E-05        0.277862E-05        0.122882E-05        0.249856E-05        0.137734E-06        0.280055E-06        0.103328E-05        0.103328E-05        0.775312E-04        0.843441E-04        0.681325E-05        0.118077E-03        0.792345E-11        0.122604E-07        0.172747E-08        0.146172E-07        0.286131E-07        0.521142E-08        0.101708E-08        0.528266E-08        0.410691E-11        0.381653E-11        0.388620E-10        0.271374E-05        0.109475E-03        0.109475E-03        0.108357E-03        0.111800E-05        0.000000E+00        0.111367E-05        0.432699E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200910        0.451319E-04        0.460387E-04        0.322271E-05        0.170343E-04        0.257817E-04        0.134948E-05        0.383942E-05        0.121346E-05        0.345244E-05        0.136013E-06        0.386972E-06        0.109513E-05        0.109513E-05        0.128096E-04        0.000000E+00       -0.128096E-04        0.444268E-04        0.146559E-10        0.123616E-07        0.216901E-08        0.151843E-07        0.297296E-07        0.576625E-08        0.109179E-08        0.602709E-08        0.759653E-11        0.705941E-11        0.831826E-10        0.120681E-05        0.451319E-04        0.451319E-04        0.444268E-04        0.705152E-06        0.000000E+00        0.701064E-06        0.408761E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200911        0.206775E-04        0.198700E-04        0.139090E-05        0.735190E-05        0.111272E-04        0.140293E-05        0.452364E-05        0.126153E-05        0.406771E-05        0.141400E-06        0.455935E-06        0.118899E-05        0.118899E-05        0.258515E-05        0.000000E+00       -0.258515E-05        0.202638E-04        0.777304E-11        0.115675E-07        0.218059E-08        0.143666E-07        0.281225E-07        0.620904E-08        0.117069E-08        0.665275E-08        0.402896E-11        0.374409E-11        0.488619E-10        0.683267E-06        0.206775E-04        0.206775E-04        0.202638E-04        0.413645E-06        0.000000E+00        0.409681E-06        0.396378E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200912        0.965893E-05        0.450860E-05        0.315602E-06        0.166818E-05        0.252482E-05        0.121460E-05        0.458609E-05        0.109218E-05        0.412386E-05        0.122419E-06        0.462229E-06        0.111255E-05        0.111255E-05        0.552951E-06        0.000000E+00       -0.552951E-06        0.942909E-05        0.980889E-10        0.923464E-08        0.172835E-08        0.114562E-07        0.225173E-07        0.649272E-08        0.122427E-08        0.707997E-08        0.508418E-10        0.472470E-10        0.529679E-09        0.339008E-06        0.965893E-05        0.965893E-05        0.942909E-05        0.229832E-06        0.000000E+00        0.225933E-06        0.389897E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201001        0.858622E-05        0.397043E-05        0.277930E-06        0.146906E-05        0.222344E-05        0.116720E-05        0.427275E-05        0.104956E-05        0.384210E-05        0.117642E-06        0.430648E-06        0.107415E-05        0.107415E-05        0.174476E-06        0.000000E+00       -0.174476E-06        0.837764E-05        0.610478E-09        0.911766E-08        0.165768E-08        0.112601E-07        0.226460E-07        0.667309E-08        0.125563E-08        0.737183E-08        0.316425E-09        0.294052E-09        0.333263E-08        0.181957E-06        0.858622E-05        0.858622E-05        0.837764E-05        0.208578E-06        0.000000E+00        0.204713E-06        0.386515E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201002        0.867677E-05        0.336607E-05        0.235625E-06        0.124545E-05        0.188500E-05        0.129042E-05        0.459934E-05        0.116036E-05        0.413578E-05        0.130061E-06        0.463565E-06        0.121703E-05        0.121703E-05        0.598048E-07        0.000000E+00       -0.598048E-07        0.846651E-05        0.760240E-10        0.927561E-08        0.163964E-08        0.114063E-07        0.223976E-07        0.685146E-08        0.128371E-08        0.765009E-08        0.394050E-10        0.366189E-10        0.413682E-09        0.315099E-06        0.867677E-05        0.867677E-05        0.846651E-05        0.210267E-06        0.000000E+00        0.206432E-06        0.383522E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201003        0.217615E-04        0.254312E-04        0.178018E-05        0.940953E-05        0.142415E-04        0.152755E-05        0.481591E-05        0.137359E-05        0.433052E-05        0.153961E-06        0.485393E-06        0.139563E-05        0.139563E-05        0.221932E-07        0.000000E+00       -0.221932E-07        0.213310E-04        0.242802E-11        0.110133E-07        0.193737E-08        0.135333E-07        0.264864E-07        0.707711E-08        0.131759E-08        0.797948E-08        0.125850E-11        0.116952E-11        0.142057E-10        0.672235E-06        0.217615E-04        0.217615E-04        0.213310E-04        0.430492E-06        0.000000E+00        0.426718E-06        0.377478E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201004        0.735260E-04        0.116157E-03        0.813096E-05        0.429780E-04        0.650478E-04        0.178523E-05        0.584926E-05        0.160530E-05        0.525971E-05        0.179933E-06        0.589543E-06        0.156428E-05        0.156428E-05        0.644571E-08        0.000000E+00       -0.644571E-08        0.734047E-04        0.367156E-12        0.132364E-07        0.275155E-08        0.167073E-07        0.326956E-07        0.743718E-08        0.138639E-08        0.848366E-08        0.190306E-12        0.176850E-12        0.157073E-11        0.145946E-05        0.735260E-04        0.735260E-04        0.724928E-04        0.103323E-05        0.000000E+00        0.102960E-05        0.363219E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201005        0.118701E-03        0.188162E-03        0.131713E-04        0.696199E-04        0.105371E-03        0.203976E-05        0.926627E-05        0.183417E-05        0.833233E-05        0.205586E-06        0.933942E-06        0.174491E-05        0.174491E-05        0.140370E-08        0.000000E+00       -0.140370E-08        0.117281E-03        0.194622E-11        0.147373E-07        0.437415E-08        0.199713E-07        0.390848E-07        0.789175E-08        0.153439E-08        0.916537E-08        0.100877E-11        0.937447E-12        0.817590E-11        0.180692E-05        0.118701E-03        0.118701E-03        0.117187E-03        0.151346E-05        0.000000E+00        0.151005E-05        0.340641E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201006        0.116084E-03        0.173235E-03        0.121264E-04        0.640968E-04        0.970111E-04        0.250027E-05        0.145220E-04        0.224827E-05        0.130583E-04        0.252001E-06        0.146366E-05        0.205712E-05        0.205712E-05        0.267512E-09        0.000000E+00       -0.267512E-09        0.114445E-03        0.339843E-12        0.164212E-07        0.642019E-08        0.238690E-07        0.467107E-07        0.844645E-08        0.181163E-08        0.100831E-07        0.176149E-12        0.163694E-12        0.203889E-11        0.174373E-05        0.116084E-03        0.116084E-03        0.114445E-03        0.163917E-05        0.000000E+00        0.163600E-05        0.316136E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
