 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                fINP                 VP1                 VP2                  VM                 KP1                 KP2                  KM                Qmax                 Kba                Kdes                Kads                rEP1                rEP2                 rEM                 pEP                 pEM                  fD                  gD                  Vg               alpha                  Vm                  KD                  Yg                 Q10               gamma               rMORT                beta             Vm_dorm               VmA2D               VmD2A             SWP_A2D                 tau             SWP_D2A               wdorm             VNup_MB          VNup_PLANT            KsNH4_MB            KsNO3_MB         KsNH4_PLANT         KsNO3_PLANT                Vnit              Vdenit                 YgN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.400000E+00        0.696379E+01        0.523155E+02        0.299729E+02        0.107037E+03        0.107037E+02        0.107037E+04        0.250000E+01        0.600000E+01        0.627376E-02        0.363939E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.202383E-01        0.100074E-01        0.191749E-03        0.107101E-03        0.395866E+00        0.170005E+01        0.100000E+00        0.107716E-08        0.100000E-02        0.183382E-06        0.110861E-07        0.188957E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.557706E-01        0.000000E+00        0.107037E-03        0.107037E-03        0.000000E+00        0.000000E+00        0.140968E-01        0.000000E+00        0.100000E+01
    200910        0.400000E+00        0.480366E+01        0.410504E+02        0.216521E+02        0.833626E+02        0.833626E+01        0.833626E+03        0.250000E+01        0.600000E+01        0.531117E-02        0.349109E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.136766E-01        0.100074E-01        0.162329E-03        0.834126E-04        0.403872E+00        0.170005E+01        0.100000E+00        0.171617E-08        0.100000E-02        0.183382E-06        0.153228E-07        0.158517E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.376884E-01        0.000000E+00        0.833626E-04        0.833626E-04        0.000000E+00        0.000000E+00        0.886212E-02        0.000000E+00        0.100000E+01
    200911        0.400000E+00        0.410061E+01        0.371238E+02        0.188350E+02        0.734852E+02        0.734852E+01        0.734852E+03        0.250000E+01        0.600000E+01        0.487968E-02        0.341705E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.112528E-01        0.100074E-01        0.149141E-03        0.735293E-04        0.407875E+00        0.170005E+01        0.100000E+00        0.876879E-09        0.100000E-02        0.183382E-06        0.685220E-08        0.147416E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.310093E-01        0.000000E+00        0.734852E-04        0.734852E-04        0.000000E+00        0.000000E+00        0.840453E-02        0.000000E+00        0.100000E+01
    200912        0.400000E+00        0.236878E+01        0.254381E+02        0.115421E+02        0.512548E+02        0.512548E+01        0.512548E+03        0.250000E+01        0.600000E+01        0.383975E-02        0.321895E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.638672E-02        0.100074E-01        0.117357E-03        0.512855E-04        0.418604E+00        0.170005E+01        0.100000E+00        0.109441E-07        0.100000E-02        0.183382E-06        0.694581E-07        0.102564E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.175998E-01        0.000000E+00        0.512548E-04        0.512548E-04        0.000000E+00        0.000000E+00        0.309319E-02        0.000000E+00        0.100000E+01
    201001        0.400000E+00        0.216656E+01        0.231341E+02        0.104316E+02        0.499590E+02        0.499590E+01        0.499590E+03        0.250000E+01        0.600000E+01        0.376987E-02        0.320262E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.616673E-02        0.100074E-01        0.115221E-03        0.499889E-04        0.419493E+00        0.170005E+01        0.100000E+00        0.681222E-07        0.100000E-02        0.183382E-06        0.436723E-06        0.614813E-04        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.169936E-01        0.000000E+00        0.499590E-04        0.499590E-04        0.000000E+00        0.000000E+00        0.211485E-02        0.000000E+00        0.100000E+01
    201002        0.400000E+00        0.236884E+01        0.256129E+02        0.115852E+02        0.507832E+02        0.507832E+01        0.507832E+03        0.250000E+01        0.600000E+01        0.381756E-02        0.321473E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.628564E-02        0.100074E-01        0.116678E-03        0.508137E-04        0.418833E+00        0.170005E+01        0.100000E+00        0.849277E-08        0.100000E-02        0.183382E-06        0.531335E-07        0.105184E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.173213E-01        0.000000E+00        0.507832E-04        0.507832E-04        0.000000E+00        0.000000E+00        0.330926E-02        0.000000E+00        0.100000E+01
    201003        0.400000E+00        0.345294E+01        0.332771E+02        0.162007E+02        0.645531E+02        0.645531E+01        0.645531E+03        0.250000E+01        0.600000E+01        0.447705E-02        0.334463E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.917502E-02        0.100074E-01        0.136835E-03        0.645918E-04        0.411793E+00        0.170005E+01        0.100000E+00        0.268885E-09        0.100000E-02        0.183382E-06        0.194762E-08        0.136340E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.252835E-01        0.000000E+00        0.645531E-04        0.645531E-04        0.000000E+00        0.000000E+00        0.882603E-02        0.765745E-03        0.100000E+01
    201004        0.400000E+00        0.495681E+01        0.420387E+02        0.222213E+02        0.839928E+02        0.839928E+01        0.839928E+03        0.250000E+01        0.600000E+01        0.533894E-02        0.349588E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.138273E-01        0.100074E-01        0.163177E-03        0.840432E-04        0.403613E+00        0.170005E+01        0.100000E+00        0.380249E-10        0.100000E-02        0.183382E-06        0.341993E-09        0.163090E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.381039E-01        0.000000E+00        0.839928E-04        0.839928E-04        0.000000E+00        0.000000E+00        0.173600E-01        0.367755E-02        0.100000E+01
    201005        0.400000E+00        0.600154E+01        0.474805E+02        0.262422E+02        0.958999E+02        0.958999E+01        0.958999E+03        0.250000E+01        0.600000E+01        0.582843E-02        0.357252E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.170647E-01        0.100074E-01        0.178138E-03        0.959574E-04        0.399476E+00        0.170005E+01        0.100000E+00        0.190131E-09        0.100000E-02        0.183382E-06        0.177777E-08        0.177685E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.470250E-01        0.000000E+00        0.958999E-04        0.958999E-04        0.000000E+00        0.000000E+00        0.171680E-01        0.177008E-02        0.100000E+01
    201006        0.400000E+00        0.861483E+01        0.600409E+02        0.360158E+02        0.122979E+03        0.122979E+02        0.122979E+04        0.250000E+01        0.600000E+01        0.688567E-02        0.372577E-01        0.100060E-03        0.100060E-03        0.100060E-03        0.104366E-01        0.109062E-01        0.899211E+00        0.518324E+00        0.251057E-01        0.100074E-01        0.210451E-03        0.123053E-03        0.391206E+00        0.170005E+01        0.100000E+00        0.326784E-10        0.100000E-02        0.183382E-06        0.375296E-09        0.210355E-03        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01        0.691836E-01        0.000000E+00        0.122979E-03        0.122979E-03        0.000000E+00        0.000000E+00        0.300856E-01        0.564535E-02        0.100000E+01
