 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20090901        0.326000E-05        0.488375E-04        0.141000E-05        0.617000E-03        0.316000E-01        0.652167E-01        0.190750E-03        0.466125E-12        0.482458E-03        0.797083E-03        0.996917E+00        0.152542E-01        0.395000E+00        0.100000E+01        0.116612E-16        0.124000E+01        0.124000E+01        0.108292E-03        0.120987E-04        0.219000E+02        0.769000E-01       -0.331000E-01        0.640000E+01
  20090902        0.334542E-05        0.485500E-04        0.143000E-05        0.288875E-02        0.349250E-01        0.639458E-01        0.197708E-03        0.229333E-11        0.108696E-02        0.179042E-02        0.993042E+00        0.311042E-01        0.393000E+00        0.100000E+01       -0.915792E-17        0.124000E+01        0.124000E+01        0.113000E-03        0.275917E-04        0.234000E+02        0.765000E-01       -0.334000E-01        0.640000E+01
  20090903        0.324000E-05        0.485500E-04        0.140000E-05        0.858958E-02        0.312208E-01        0.548917E-01        0.188500E-03        0.715125E-11        0.175792E-02        0.290792E-02        0.988167E+00        0.563167E-01        0.395000E+00        0.100000E+01        0.950000E-18        0.124000E+01        0.124000E+01        0.113000E-03        0.456292E-04        0.219000E+02        0.761000E-01       -0.338000E-01        0.640000E+01
  20090904        0.330000E-05        0.485000E-04        0.141000E-05        0.258708E-01        0.324250E-01        0.554375E-01        0.191292E-03        0.135171E-10        0.305208E-02        0.504042E-02        0.979750E+00        0.941792E-01        0.395000E+00        0.100000E+01        0.201083E-17        0.124000E+01        0.124000E+01        0.113000E-03        0.822708E-04        0.225000E+02        0.805000E-01       -0.300000E-01        0.640000E+01
  20090905        0.332458E-05        0.484083E-04        0.142000E-05        0.954625E-01        0.324500E-01        0.546375E-01        0.188667E-03        0.522333E-10        0.490417E-02        0.809250E-02        0.957667E+00        0.151417E+00        0.394000E+00        0.100000E+01        0.236167E-17        0.124000E+01        0.124000E+01        0.113000E-03        0.140458E-03        0.229000E+02        0.801000E-01       -0.304000E-01        0.640000E+01
  20090906        0.339083E-05        0.484000E-04        0.144000E-05        0.102900E+01        0.253583E-01        0.422917E-01        0.142167E-03        0.590417E-09        0.544542E-02        0.763083E-02        0.705125E+00        0.216833E+00        0.260750E+00        0.100000E+01        0.365417E-17        0.124000E+01        0.124000E+01        0.899000E-04        0.167667E-03        0.237000E+02        0.797000E-01       -0.307000E-01        0.640000E+01
  20090907        0.343458E-05        0.484458E-04        0.145458E-05        0.150833E+01        0.226625E-01        0.376833E-01        0.124667E-03        0.905208E-09        0.541125E-02        0.590375E-02        0.611167E+00        0.238792E+00        0.832792E-01        0.100000E+01       -0.150500E-16        0.124000E+01        0.124000E+01        0.899000E-04        0.171042E-03        0.241000E+02        0.793000E-01       -0.310000E-01        0.640000E+01
  20090908        0.348333E-05        0.485125E-04        0.147083E-05        0.163375E+01        0.228875E-01        0.380000E-01        0.123458E-03        0.102625E-08        0.562083E-02        0.565833E-02        0.597958E+00        0.245667E+00        0.652550E-02        0.100000E+01       -0.106833E-16        0.124000E+01        0.124000E+01        0.899000E-04        0.178792E-03        0.246000E+02        0.789000E-01       -0.313000E-01        0.640000E+01
  20090909        0.353500E-05        0.485833E-04        0.149000E-05        0.172292E+01        0.231542E-01        0.383875E-01        0.122250E-03        0.113292E-08        0.551292E-02        0.546292E-02        0.584375E+00        0.247458E+00       -0.872542E-02        0.100000E+01       -0.104500E-16        0.123625E+01        0.123583E+01        0.899000E-04        0.175167E-03        0.251000E+02        0.785000E-01       -0.317000E-01        0.640000E+01
  20090910        0.345625E-05        0.487833E-04        0.147500E-05        0.168625E+01        0.210667E-01        0.350458E-01        0.117375E-03        0.115958E-08        0.516333E-02        0.511917E-02        0.581000E+00        0.248750E+00       -0.841042E-02        0.100000E+01        0.120250E-16        0.123000E+01        0.123000E+01        0.899000E-04        0.163958E-03        0.238000E+02        0.781000E-01       -0.320000E-01        0.640000E+01
  20090911        0.344458E-05        0.489208E-04        0.147750E-05        0.171000E+01        0.202542E-01        0.337292E-01        0.114542E-03        0.123083E-08        0.492750E-02        0.488208E-02        0.572792E+00        0.250125E+00       -0.916333E-02        0.100000E+01        0.133125E-16        0.123000E+01        0.123000E+01        0.899000E-04        0.156333E-03        0.235000E+02        0.777000E-01       -0.324000E-01        0.640000E+01
  20090912        0.340083E-05        0.490958E-04        0.147042E-05        0.169958E+01        0.189750E-01        0.316625E-01        0.111000E-03        0.128000E-08        0.467667E-02        0.463250E-02        0.567833E+00        0.251333E+00       -0.934625E-02        0.100000E+01       -0.116833E-17        0.123000E+01        0.123000E+01        0.899000E-04        0.148208E-03        0.226000E+02        0.773000E-01       -0.327000E-01        0.640000E+01
  20090913        0.337458E-05        0.492500E-04        0.147000E-05        0.170458E+01        0.180667E-01        0.301750E-01        0.108083E-03        0.134375E-08        0.446583E-02        0.442250E-02        0.561833E+00        0.252458E+00       -0.957375E-02        0.100000E+01        0.108708E-16        0.123000E+01        0.123000E+01        0.899000E-04        0.141333E-03        0.221000E+02        0.769000E-01       -0.331000E-01        0.640000E+01
