 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.335939E-05        0.494101E-04        0.147278E-05        0.153141E+01        0.190414E-01        0.325736E-01        0.114403E-03        0.167060E-08        0.352634E-02        0.383340E-02        0.600007E+00        0.224765E+00        0.693327E-01        0.100000E+01       -0.300307E-17        0.122806E+01        0.122803E+01        0.856797E-04        0.109469E-03        0.215600E+02        0.754200E-01       -0.346533E-01        0.640000E+01
    200910        0.329735E-05        0.533323E-04        0.156149E-05        0.231659E+01        0.703891E-02        0.119325E-01        0.542031E-04        0.371702E-08        0.146074E-02        0.143695E-02        0.339629E+00        0.277972E+00       -0.164355E-01        0.100000E+01        0.445913E-17        0.122000E+01        0.122000E+01        0.460226E-04        0.451323E-04        0.156742E+02        0.722161E-01       -0.383677E-01        0.640000E+01
    200911        0.342319E-05        0.585260E-04        0.169674E-05        0.262490E+01        0.358542E-02        0.611876E-02        0.317512E-04        0.226938E-08        0.679447E-03        0.664949E-03        0.212556E+00        0.290165E+00       -0.207854E-01        0.100000E+01        0.869550E-17        0.122000E+01        0.122000E+01        0.198707E-04        0.206736E-04        0.127290E+02        0.788267E-01       -0.320100E-01        0.640000E+01
    200912        0.296632E-05        0.598507E-04        0.158847E-05        0.228448E+01        0.140325E-02        0.244594E-02        0.161199E-04        0.249677E-07        0.320465E-03        0.312069E-03        0.154725E+00        0.296280E+00       -0.245269E-01        0.100000E+01        0.157860E-17        0.122000E+01        0.122000E+01        0.450968E-05        0.966182E-05        0.483903E+01        0.591065E-01       -0.602129E-01        0.640000E+01
    201001        0.285543E-05        0.574785E-04        0.153521E-05        0.227931E+01        0.125318E-02        0.216964E-02        0.881874E-05        0.158123E-06        0.286602E-03        0.278987E-03        0.142958E+00        0.298032E+00       -0.251147E-01        0.100000E+01        0.115786E-17        0.121054E+01        0.121052E+01        0.397032E-05        0.858552E-05        0.418516E+01        0.484613E-01       -0.967161E-01        0.640000E+01
    201002        0.316244E-05        0.637737E-04        0.173949E-05        0.230973E+01        0.127059E-02        0.221659E-02        0.152576E-04        0.197324E-07        0.291287E-03        0.283483E-03        0.141710E+00        0.300037E+00       -0.250115E-01        0.100000E+01        0.390756E-17        0.121000E+01        0.121000E+01        0.336157E-05        0.867637E-05        0.467071E+01        0.621536E-01       -0.548607E-01        0.640000E+01
    201003        0.374798E-05        0.672036E-04        0.199621E-05        0.240099E+01        0.323597E-02        0.556480E-02        0.329118E-04        0.686294E-09        0.735683E-03        0.720247E-03        0.238176E+00        0.305796E+00       -0.211766E-01        0.100000E+01        0.727405E-17        0.121000E+01        0.121000E+01        0.254097E-04        0.217593E-04        0.985000E+01        0.954258E-01       -0.224839E-01        0.640000E+01
    201004        0.435821E-05        0.686742E-04        0.223914E-05        0.210715E+01        0.936953E-02        0.158611E-01        0.740535E-04        0.803182E-10        0.252121E-02        0.251597E-02        0.452994E+00        0.321521E+00       -0.698502E-02        0.100000E+01        0.130152E-16        0.122235E+01        0.122239E+01        0.116120E-03        0.735018E-04        0.158567E+02        0.119513E+00       -0.138920E-01        0.640000E+01
    201005        0.489651E-05        0.749937E-04        0.249960E-05        0.207944E+01        0.142411E-01        0.238504E-01        0.975476E-04        0.434651E-09        0.411915E-02        0.406847E-02        0.548130E+00        0.356239E+00       -0.122503E-01        0.100000E+01       -0.725537E-18        0.126668E+01        0.126675E+01        0.188000E-03        0.118705E-03        0.189065E+02        0.982355E-01       -0.208903E-01        0.640000E+01
    201006        0.588901E-05        0.872164E-04        0.294849E-05        0.283990E+01        0.188985E-01        0.311935E-01        0.101203E-03        0.118768E-09        0.419785E-02        0.413690E-02        0.481100E+00        0.376326E+00       -0.143932E-01        0.100000E+01       -0.133920E-16        0.131589E+01        0.131594E+01        0.173167E-03        0.116053E-03        0.249833E+02        0.114833E+00       -0.145700E-01        0.640000E+01
    201007        0.638941E-05        0.104200E-03        0.327700E-05        0.293431E+01        0.199511E-01        0.328497E-01        0.102491E-03        0.498513E-09        0.446595E-02        0.440104E-02        0.474755E+00        0.393298E+00       -0.144585E-01        0.100000E+01        0.152924E-16        0.135142E+01        0.135148E+01        0.165968E-03        0.117797E-03        0.259097E+02        0.983065E-01       -0.201032E-01        0.640000E+01
