 Simulation_Period = 20090901 -- 20161231
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
    1    1       20100122          0.00003208          0.00001158          0.00000001
    2    1       20100217          0.00001793          0.00000771          0.00000000
    3    1       20100318          0.00006394          0.00001732          0.00000000
    4    1       20100427          0.00008240          0.00010794          0.00000088
    5    1       20100517          0.00012650          0.00012659          0.00000741
    6    1       20100610          0.00011700          0.00011850          0.00000206
    7    1       20100701          0.00015520          0.00009964          0.00000005
    8    1       20100721          0.00015040          0.00013082          0.00000007
    9    1       20100827          0.00006145          0.00008351          0.00000004
   10    1       20100922          0.00012470          0.00009580          0.00000047
   11    1       20101118          0.00006804          0.00004679          0.00000002
   12    1       20101222          0.00002884          0.00000291          0.00000000
   13    1       20110122          0.00001339          0.00000339          0.00000000
   14    1       20110222          0.00002797          0.00004164          0.00000006
   15    1       20110323          0.00006178          0.00002654          0.00000073
   16    1       20110428          0.00011320          0.00007348          0.00000000
   17    1       20110526          0.00012210          0.00013208          0.00000004
   18    1       20110626          0.00003272          0.00008974          0.00000253
   19    1       20110719          0.00003010          0.00003664          0.00000250
   20    1       20110816          0.00007841          0.00005501          0.00000006
   21    1       20110905          0.00004147          0.00006356          0.00000001
   22    1       20110924          0.00003985          0.00006465          0.00000003
   23    1       20111018          0.00005724          0.00006088          0.00000049
   24    1       20111112          0.00006761          0.00005316          0.00000002
   25    1       20111210          0.00001739          0.00003146          0.00000006
   26    1       20120115          0.00001458          0.00002829          0.00000003
   27    1       20120219          0.00003002          0.00003404          0.00000002
   28    1       20120313          0.00005486          0.00005078          0.00000161
   29    1       20120421          0.00005292          0.00009818          0.00000003
   30    1       20120519          0.00003175          0.00005897          0.00000002
   31    1       20120617          0.00003737          0.00008566          0.00000107
   32    1       20120722          0.00003996          0.00007121          0.00000002
   33    1       20120823          0.00003823          0.00006823          0.00000001
   34    1       20120922          0.00002711          0.00006302          0.00000001
   35    1       20121028          0.00003197          0.00004509          0.00000002
   36    1       20121117          0.00002614          0.00003398          0.00000008
   37    1       20121218          0.00002700          0.00002910          0.00000028
   38    1       20130120          0.00004374          0.00002208          0.00000003
   39    1       20130327          0.00003402          0.00002550          0.00000001
   40    1       20130529          0.00013270          0.00008842          0.00000003
   41    1       20130624          0.00013220          0.00014210          0.00000006
   42    1       20130802          0.00012310          0.00012850          0.00000004
   43    1       20130907          0.00009299          0.00008062          0.00000001
   44    1       20131009          0.00004741          0.00006210          0.00000016
   45    1       20140723          0.00011390          0.00010482          0.00000003
   46    1       20140827          0.00004838          0.00007532          0.00000002
   47    1       20140930          0.00004644          0.00006173          0.00000036
   48    1       20141029          0.00003370          0.00005181          0.00000019
   49    1       20141125          0.00002538          0.00003319          0.00000003
   50    1       20150203          0.00006772          0.00003727          0.00000006
   51    1       20150311          0.00008618          0.00005510          0.00000000
   52    1       20150426          0.00010120          0.00010751          0.00000003
   53    1       20150518          0.00009860          0.00012603          0.00000005
   54    1       20150624          0.00013050          0.00012364          0.00000004
   55    1       20150716          0.00004676          0.00009675          0.00000002
   56    1       20150926          0.00015290          0.00013947          0.00000122
   57    1       20151119          0.00007193          0.00004255          0.00000014
   58    1       20151216          0.00007474          0.00004144          0.00000005
   59    1       20160129          0.00003067          0.00003691          0.00000003
   60    1       20160229          0.00004082          0.00003732          0.00000002
   61    1       20160320          0.00007063          0.00003768          0.00000002
   62    1       20160423          0.00012700          0.00010222          0.00000058
   63    1       20160521          0.00013880          0.00014417          0.00000005
   64    1       20160617          0.00011240          0.00014615          0.00000382
   65    1       20160629          0.00016010          0.00015525          0.00000006
   66    1       20160713          0.00012070          0.00014118          0.00000004
   67    1       20160801          0.00017510          0.00014235          0.00000004
   68    1       20160816          0.00013120          0.00009981          0.00000002
   69    1       20160831          0.00012540          0.00008361          0.00000002
   70    1       20160913          0.00017650          0.00012776          0.00000095
   71    1       20160929          0.00014680          0.00008528          0.00000031
   72    1       20161028          0.00013070          0.00006944          0.00000003
   73    1       20161123          0.00008132          0.00004529          0.00000020
   74    1       20161222          0.00004514          0.00003522          0.00000016
   75    2       20000101          0.02500000          0.01251618          0.00650427
   76    3         201010     130594.00000000          0.00010111          0.00000039
   77    3         201110     239641.00000000          0.00010812          0.00000053
   78    3         201210     243538.00000000          0.00011783          0.00000023
