 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.124E+01           0.124E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.250E-01           0.250E-03           0.248E-01           0.110E-03           0.500E-04           0.100E-04           0.500E-04           0.632-321           0.000E+00           0.296E+17           0.220-313           0.158-321           0.000E+00           0.695-309           0.695-309           0.695-309           0.494-323           0.632-321           0.695-309           0.220-313           0.494-323           0.220-313           0.695-309           0.695-309           0.494-323           0.695-309           0.695-309           0.000E+00           0.816-319           0.220-313           0.695-309           0.220-313           0.601-153           0.593-322           0.695-309           0.220-313           0.695-309           0.220-313           0.000E+00           0.220-313           0.000E+00           0.220-313           0.601-153           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
  20090901        0.123728E+01        0.123728E+01        0.117729E+01        0.405075E+00        0.454537E-01        0.701902E+00        0.248621E-01        0.347897E-01        0.250865E-01        0.395452E-03        0.246911E-01        0.109880E-03        0.499451E-04        0.998835E-05        0.499463E-04        0.115956E-16        0.132491E-03        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090902        0.123953E+01        0.123953E+01        0.119753E+01        0.405233E+00        0.464047E-01        0.701887E+00        0.440052E-01        0.165002E-01        0.253891E-01        0.812914E-03        0.245762E-01        0.109675E-03        0.498509E-04        0.996731E-05        0.498564E-04       -0.914623E-17        0.598062E-03        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090903        0.124137E+01        0.124137E+01        0.120629E+01        0.405391E+00        0.473547E-01        0.701872E+00        0.516715E-01        0.901191E-02        0.259589E-01        0.149621E-02        0.244627E-01        0.109524E-03        0.497805E-04        0.994909E-05        0.497941E-04        0.893079E-18        0.147252E-02        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090904        0.124257E+01        0.124257E+01        0.121013E+01        0.405549E+00        0.483037E-01        0.701857E+00        0.544236E-01        0.537850E-02        0.269476E-01        0.259628E-02        0.243513E-01        0.109458E-03        0.497474E-04        0.993542E-05        0.497755E-04        0.201311E-17        0.298802E-02        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090905        0.124263E+01        0.124263E+01        0.121118E+01        0.405707E+00        0.492516E-01        0.701842E+00        0.543800E-01        0.266277E-02        0.286758E-01        0.443546E-02        0.242403E-01        0.109540E-03        0.497783E-04        0.992968E-05        0.498320E-04        0.237564E-17        0.564351E-02        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090906        0.124113E+01        0.124113E+01        0.120976E+01        0.405844E+00        0.500910E-01        0.701827E+00        0.519966E-01        0.362051E-03        0.309019E-01        0.676008E-02        0.241419E-01        0.109856E-03        0.499108E-04        0.993674E-05        0.500080E-04        0.356201E-17        0.956433E-02        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090907        0.123931E+01        0.123931E+01        0.120738E+01        0.405961E+00        0.508305E-01        0.701812E+00        0.487719E-01        0.186410E-03        0.316395E-01        0.757141E-02        0.240681E-01        0.110349E-03        0.501204E-04        0.995384E-05        0.502750E-04       -0.150161E-16        0.135415E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090908        0.123725E+01        0.123725E+01        0.120514E+01        0.406079E+00        0.515691E-01        0.701797E+00        0.456989E-01        0.179740E-03        0.318160E-01        0.781940E-02        0.239966E-01        0.110902E-03        0.503551E-04        0.997471E-05        0.505720E-04       -0.106873E-16        0.177607E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090909        0.123515E+01        0.123515E+01        0.120307E+01        0.406195E+00        0.523068E-01        0.701781E+00        0.427829E-01        0.173440E-03        0.317963E-01        0.787038E-02        0.239259E-01        0.111478E-03        0.505993E-04        0.999745E-05        0.508809E-04       -0.104005E-16        0.220203E-01        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
