 Simulation_Period = 20090901 -- 20161231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.124E+01           0.124E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.250E-01           0.250E-03           0.248E-01           0.110E-03           0.500E-04           0.100E-04           0.500E-04           0.632-321           0.000E+00           0.988-323           0.224-313           0.224-313           0.000E+00           0.694-309           0.695-309           0.695-309           0.494-323           0.632-321           0.694-309           0.224-313           0.494-323           0.224-313           0.695-309           0.694-309           0.494-323           0.695-309           0.695-309           0.000E+00           0.816-319           0.224-313           0.695-309           0.224-313           0.601-153           0.593-322           0.694-309           0.224-313           0.695-309           0.224-313           0.000E+00           0.224-313           0.000E+00           0.224-313           0.434-310           0.694-309                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
    200909        0.122812E+01        0.122812E+01        0.119499E+01        0.406799E+00        0.561819E-01        0.701685E+00        0.303226E-01        0.238332E-02        0.306292E-01        0.703641E-02        0.235928E-01        0.115060E-03        0.520900E-04        0.101654E-04        0.528043E-04       -0.299715E-17        0.407414E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200910        0.121937E+01        0.121937E+01        0.118833E+01        0.409246E+00        0.719029E-01        0.701255E+00        0.592241E-02        0.443653E-04        0.308698E-01        0.858083E-02        0.222889E-01        0.128791E-03        0.576345E-04        0.109124E-04        0.602440E-04        0.445869E-17        0.985568E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200911        0.121985E+01        0.121985E+01        0.118924E+01        0.409830E+00        0.772832E-01        0.700826E+00        0.129606E-02        0.202446E-04        0.304497E-01        0.883546E-02        0.216142E-01        0.140255E-03        0.620585E-04        0.117009E-04        0.664953E-04        0.870285E-17        0.120980E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200912        0.121715E+01        0.121715E+01        0.118678E+01        0.409388E+00        0.766125E-01        0.700418E+00        0.358032E-03        0.942121E-05        0.302122E-01        0.895110E-02        0.212611E-01        0.147888E-03        0.648910E-04        0.122359E-04        0.707616E-04        0.158874E-17        0.131001E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201001        0.121338E+01        0.121338E+01        0.118318E+01        0.408705E+00        0.743298E-01        0.700032E+00        0.117734E-03        0.837934E-05        0.300385E-01        0.896159E-02        0.210769E-01        0.152921E-03        0.666933E-04        0.125492E-04        0.736780E-04        0.116940E-17        0.137485E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201002        0.120986E+01        0.120986E+01        0.117982E+01        0.408012E+00        0.721380E-01        0.699629E+00        0.393656E-04        0.847380E-05        0.298768E-01        0.896331E-02        0.209135E-01        0.157764E-03        0.684759E-04        0.128297E-04        0.764588E-04        0.389592E-17        0.143469E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201003        0.120820E+01        0.120820E+01        0.117836E+01        0.407551E+00        0.716631E-01        0.699135E+00        0.125115E-04        0.213798E-04        0.296508E-01        0.906723E-02        0.205836E-01        0.163654E-03        0.707326E-04        0.131686E-04        0.797525E-04        0.725955E-17        0.152879E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201004        0.122267E+01        0.122267E+01        0.119323E+01        0.409594E+00        0.850799E-01        0.698557E+00        0.301759E-05        0.735007E-04        0.291927E-01        0.938748E-02        0.198053E-01        0.172984E-03        0.743330E-04        0.138570E-04        0.847939E-04        0.130356E-16        0.184904E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201005        0.126686E+01        0.126686E+01        0.123770E+01        0.416450E+00        0.123213E+00        0.698040E+00        0.616920E-06        0.117302E-03        0.288501E-01        0.102764E-01        0.185737E-01        0.185824E-03        0.788770E-04        0.153375E-04        0.916095E-04       -0.724404E-18        0.258413E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
